index,clues,difficulty,id,puzzle,solution
19,26,0.0,31,5..6..7..38.....4.1..3.4..5.6.8..2..45.2..........157.6...1............8....4.137,542689713386175942197324865761853294459267381238491576673518429914732658825946137
20,25,0.0,33,..6...51..52.7......761.....8.....5.7....2698..4..7.....926........9.3........16.,396428517152379486847615923281936754735142698964857231419263875678591342523784169
21,23,0.0,34,......27..9.2......4.9.6.....6........16.53..2...98...75.46......8...1.....3....7,613854279597213468842976531486732915971645382235198746759461823368527194124389657
22,23,1.8,35,..7.....34...6..12.....37..1.8.57.......8..6......21...........6...459....9....87,267514893493768512815293746138657429724189365956432178381976254672845931549321687
23,24,1.3,36,1.........9.....6.82.4...9..6....8..2...987...4.27.3.....7...15.....6.3..5....9..,173569482594832167826417593761345829235698741948271356389724615417956238652183974
24,25,0.0,37,...86.9.5.8.....217....4..862...543.5...7........4.6......92.8..61...5...........,132867945486539721759124368628915437543276819917348652375492186261783594894651273
25,24,0.0,38,39..8.....6...347..7.6.2..3.2.1.......52..9..6....5.....2..7.....9.4.5.....8.....,391784256268953471574612893923178645845236917617495328432567189789341562156829734
26,25,1.9,39,3....5.78...6.7....6..1.4..6.....3.7..49...6.........442............8.51.13..67..,391425678248637915567819423652184397184973562739562184425791836976348251813256749
27,23,0.0,40,...82.4..52..4..1.6.......7.4...9.2...25.....9.37....6..8.1.......2...3.........5,371825469529647318684391257845169723762534981913782546458913672197256834236478195
28,25,0.0,42,.8.....9...5.8.7..7....9..4.16.42....3..9.1.78...3....4.....5...2.5...1.....1.9..,182457693945386721763129854516742389234895167897631245471968532629573418358214976
29,23,1.8,44,1..7.8..6.45...2.......1.9...439............8.3.1..........9.7..9...6..5.5.27....,129758346745963281683421597874395612512647938936182754268519473497836125351274869
30,25,0.0,45,...92...1....57...9..3.6.42.9217...4.3........6...9...4...3....6....8....27...6..,376924581241857936985316742592173864738465219164289357459632178613798425827541693
31,25,0.0,47,...2.1.3...1...4..7......95....4.91...43.7...1.69.....6...2...7.5...9...2..6...5.,945271638361598472728463195572846913894317526136952784689125347453789261217634859
32,22,0.0,49,93..2..6...2...7..6....89......45..9.4.6.......7.....8.5.......7......2...9..78..,938721465412956783675438912261845379843679251597312648356284197784193526129567834
33,23,0.0,50,.4.1...39........6.65...2..8..461........847.......9..38...4.1....3.......72.....,248156739793842156165739284879461325536928471421573968382694517654317892917285643
34,23,0.0,51,95..6...4...8.........5..1...6..1..92.....3..4....98...13...7..67...2..........35,957163284142897653368254917786321549291485376435679821513948762674532198829716435
35,25,0.0,52,7....1..3..5.2.9..3.9...17..........968..2.........6.8....83.1..7.4.....581....9.,726941583815327946349658172152864739968732451437195628694583217273419865581276394
36,25,0.0,53,.98...3.2..7.9.....6.32..7............6.89..48....4....8.6..15...14..7.......74..,198745362327896541465321978249563817576189234813274695784632159931458726652917483
37,23,0.0,55,...5...2...84.76...1..6....6.....7...81..9..2..7..85..2..8...5..............21.3.,769583421328417695415962873632154789581679342947238516293846157174395268856721934
38,24,0.0,56,2.9....8......8..6....9.....5.7..3.4.8..1...2.1.6.37...9.26..5.3..........1..7...,239476185574128936168395247956782314783914562412653798897261453325849671641537829
39,25,1.7,57,.4..8.......3...97.3..7..5.5.2.4.7.88.....2.....9..........4...6.78..9....475...1,745689132268315497139472856592143768813567249476928513381294675657831924924756381
40,22,0.0,58,.............8..2..8.3.69.13..2......6.....72.4.1....5..97.....2..5..34......9...,123975864695481723784326951357264198961853472842197635419732586276518349538649217
41,24,0.0,59,....3....16..........1.5........94..42..8..6.7.....5.2..18..6....95....7....6394.,957638214164972358238145796816259473425387169793416582371894625649521837582763941
42,23,1.6,60,...49..6...6....58.5...7..4......53159..8...62.....4.......3....4......2..21.....,128495763476231958359867124684972531591384276237516489915623847843759612762148395
43,26,1.7,62,24..6..7.....91...........1...2....9.1..897..5.9...3...5.62...4.7...865...65.....,241865973835791246697432581783256419412389765569174328958627134374918652126543897
44,25,1.4,64,.2348.5........3.9...5...4.6...1.2...87.2.....1..3..5........6...82..1.4.3..9....,723489516845162379196573842659714283387625491214938657572341968968257134431896725
45,24,1.2,65,....8....46..1.3......37...94....2.3...9....1..8..46.7..3....7.6......5415.......,329486715467519328581237469945761283736928541218354697893645172672193854154872936
46,24,0.0,68,.4...3...86....7.37...1.........198....4.2.5.......6..6.5.7.824.........23......6,541763298862594713793218465324651987976482351158937642615379824487126539239845176
47,24,0.0,69,..95....23.......5..5..41....3.7649.6......8...72........79....1...6.......48..6.,749518632361927845285634179523876491694153287817249356436792518178365924952481763
48,24,1.6,70,..149.7.......79..3..........5...3.9..3.58...........4..76..4..1.2.......3.2.5.87,651492738248367915379581246825146379493758162716923854587639421162874593934215687
49,26,0.0,74,4.6..5.7...736...4..2.1....1...574.9....8...18.....2.....4..5.6..8.....7..1..9...,436895172517362894982714635163257489294683751875941263729438516358126947641579328
50,25,0.0,75,...91......93.458.5.......1..71.3.....5.9...6...48..3....2..84.1.3....6......8...,328915674719364582564827391647153928835792416291486735956271843183549267472638159
51,23,1.5,76,..14.5...3..2.7.........92.....891....2...43.......8..43.7...8.7.......6.......59,821495673394267518675138924547389162982671435163524897439756281758912346216843759
52,22,1.5,77,......32.4...1...91.....7..........43.946......827.......9...63...3.25...2.......,875694321432517689196823745267138954319465872548279136754981263681342597923756418
53,24,0.0,78,2.....54..9.81.....83.......6...3..5..4....6.3..7...9.....6.7.3...27....5.1.....4,217639548495817236683542917169423875754981362328756491942165783836274159571398624
54,24,0.0,79,43.........5.3...9..19...8...4...1...6..7.4....84....7...15..9..9...321.3........,439568721785231649621947583974325168163879452258416937847152396596783214312694875
55,25,1.3,80,.8.....74...1.5.3..6..4.8..4.7..3...9...6...8.18..7........61...3...16...4..5....,281639574794185236365742891457813962923564718618297453879326145532471689146958327
56,26,1.8,82,...13....63....8.25............65..1.4..2...62.69...4.8......9..572..3....2.7..5.,928136475634759812571842639389465721745321986216987543863514297157298364492673158
57,24,0.0,83,9...6......3.5.4...4.7..39..7..8..59....2...14..6.....6..5..........95....1.4..3.,927463185183952467546718392372184659869325741415697823698531274234879516751246938
58,23,0.0,84,...34...5.9..2...3........454...6..9..3..2.8....5......2..8.93.6.4....7....7.....,276341895498625713351978264547816329163492587982537641725184936634259178819763452
59,24,0.0,85,......76.3.4....98.69........3.8.6...1..2.....7.........7..9.84.9.3.....8...15..7,581942763324756198769831245943187652618523479275694831157269384492378516836415927
60,23,0.0,86,257..8....9............4.6....5..74.......9..37....5.87.49.......1....3....23.6..,257368491496125387813794265968512743145873926372649518734986152621457839589231674
61,23,1.2,87,9.2....1.....6...81....7.3..1...........2.5....3.1..8.4..3.......54....632..98...,982534617734169258156287934219845763648723591573916482461352879895471326327698145
62,24,0.0,88,..7.9....3.6.4...7.........9.567.1...3...1..6.......74.4.2....1...1.....5.8..3..2,187396425396542817452718369925674183734821956861935274649287531273159648518463792
63,25,0.0,89,6..34.5....9.5.4.8....8.....61...74....4..3.......6.2.1...6..5.8.4.....77....1...,687342591239157468415689273561238749972415386348976125193764852824593617756821934
64,24,0.0,90,8.36.....716.5.4..4.......1....7.....35..4.7....9.6.1....1.....98.2...........32.,823641957716359482459728631194572863635814279278936514342185796987263145561497328
65,24,0.0,91,5..42.87.64.......3.8.....5.7...3.41...2......81...2.6.6....91....73.............,519426873647358129328197465276983541435261798981574236763845912152739684894612357
66,24,0.0,92,6.43........5.62.9........73.9..8...51..............759.........2..47.1.7.5..3.6.,694372158173586249258491637369758421517234896482169375931625784826947513745813962
67,24,0.0,93,..9.6.....219...8..3...7.9.......154.1........7.........3.1.6.....35.9..89.2...4.,759468213621935487438127596386792154914583762572641839243819675167354928895276341
68,25,0.0,95,.6.3.21....47....37......8.2..5......1.....76....1.9.......379...8.....44..6.8.2.,869352147154789263732461589287596431915234876643817952526143798378925614491678325
69,24,0.0,96,4.9.2..85..7.....6.264.........4..5...5...7..8.2.9............9....321.72...1....,419627385387159246526483971793241658145368792862795413631574829954832167278916534
70,24,0.0,97,.53.8......7.9.2.......2.1..8.....2.512...486........1....2..4..6.1.......46...3.,253781964147396258698542713786415329512937486439268571971823645365174892824659137
71,24,1.0,99,7..4........1..96.....3..5....7....9.3.6.2.....9..1..619..4.3..4.....1.82.......7,725469813384175962961238754612784539537692481849351276196847325473526198258913647
72,24,1.6,102,.6.....72.92..1..4...3.9...7...6.....5.94.........7..894.8..5...1...2..........43,361584972892671354475329816784163295256948731139257468943816527517432689628795143
73,25,0.0,103,1..83...5.54.......6.....3..129..6..6..4....9...3.2..748.2.........1.....29..5...,197834265354126978268579134812957643673481529945362817481293756536718492729645381
74,25,0.0,104,8..2..........6.7...3.9.5............954...2.38.5.79..7.....2641......3......879.,857234619912856473463791582274169358695483127381527946738915264149672835526348791
75,23,0.0,105,.....5...41.7...........2.71........9...245...7368...4.3..6.9....4.9......6....5.,627815439419732685385946217142357896968124573573689124731568942854293761296471358
76,24,0.0,106,....627...32.......6.....54....1.5.....3...9.91......8...2.36.584.5....3......8..,581462739432795186769138254374819562628357491915624378197283645846571923253946817
77,24,1.9,108,..3....8....78...61....34..7..2......19.......6.4..8.765.8..79......4........1.6.,573146289294785136186923475745268913819357642362419857651832794938674521427591368
78,24,0.0,109,......68..2..7.3.4....32.....1.54..9.8.........91....7256...1.......8..5.3.7.....,743591682125876394698432751371254869482967513569183247256349178917628435834715926
79,26,0.0,110,29....8.11......39...1..7..3..7....5.2..634...7..9..2.7.6..........28.6......79..,293476851147285639685139742368742195921563478574891326756914283419328567832657914
80,23,1.6,111,..53.....83......9...9.6..4.....5.4...8.1.63.........1...57.2...1.......9.28..5..,495387162836124759721956384169235847248719635357468921684571293513692478972843516
81,23,0.0,112,7..1.6.8..6.8..5...2.9.76............1......4..5.4...2..8........9...36.6..78....,754136289963824517821957643487293156216578934395641872148369725579412368632785491
82,25,0.0,114,......5...47...8.2.8...9.1......52977...3...1.1.48..5...6..3...894............9..,621348579947651832583729614438165297765932481219487356156293748894576123372814965
83,24,0.0,115,...2...7.....98.6.97......4.2......93...4.....9..5.4....29.5..7.....78..8..3..2..,653214978214798563978536124425173689381649752796852431162985347539427816847361295
84,24,1.2,116,...6..4.......35.2.3..916..2..7....4.........4.7...35.3.1..4..86......2..8.2.....,798625431146873592532491687259736814813549276467182359321954768674318925985267143
85,24,0.0,117,7..68......8..5...2...31.5..1.9...2.......543.75.....1......3.4..3...1..9..7.....,751689432438275916269431758314958627892167543675324891187592364523846179946713285
86,26,0.0,118,.8.6.4.13..21...4...1.3.......978..2......7.......2.5...64...2...5.8.9...3.2....4,987624513352197648641835297564978132293541786718362459876419325425783961139256874
87,26,0.0,120,..2.9...56...1.....1....9..8.........56..4..2.7.1.658......9..47...4..5..48....27,382697145694513278517482936823975461156834792479126583235769814761248359948351627
88,25,0.0,121,..5.243...8..1....2.3...95........2.....4.6.7...8.359....4.2.1...9..7.......5.4..,715924386986315742243768951374596128598241637162873594657432819439187265821659473
89,27,0.0,123,........4.74....3961.5.......84.1..79.5..7.1....8.......793...8....8......6.759.1,583792164274618539619543782368451297945327816721869453157934628492186375836275941
90,23,0.0,125,9.3.5......6..2..........29...6.7...8.2...34.79.......5.....6.3...39.4.1......7..,923451876176982534458763129345627918862519347791834265514278693287396451639145782
91,25,0.0,127,....2.3..4.3.9...7.....69.4.3...9.62214...8...8...3..........1.8...6....1..8.4...,951427386463598127728316954537189462214675839689243571346952718895761243172834695
92,23,1.1,130,5...9.8....3..4....7.62.........2..91.83...2...7...4...........9....16...2..8.73.,512793864863514297479628315346852179198347526257169483781436952935271648624985731
93,24,0.0,131,8.21...5......2..4.31....9.........5...6.92.8.4..1......4..86..7..9.....6.3...9..,872194356965382174431567892189273465357649218246815739594738621718926543623451987
94,24,0.0,132,...6.......617.....24....5.5.3..1..2.8...6..42....9.....1.....5....574.9......32.,318645297956172843724398651563481972189726534247539168491263785632857419875914326
95,25,1.9,133,.8264.91.4.......5...81...6.564....8........732..8..4........5.....76......3....4,782645913461793825935812476156437298894261537327589641678124359543976182219358764
96,24,0.0,134,..14573....7.9.6....3....2.7....9.4........8126..........3.67.......8.....6.75...,621457398847293615953681427718539246534762981269814573182346759375928164496175832
97,27,0.0,136,.4...25.3......72......4.9..5....1....6813.5.2.46.....87..3.9...6.5.9...5...2....,647982513985361724123754896358247169796813452214695387872136945461579238539428671
98,23,0.0,137,.....4.519..7.........5..8....4.2..65...3..1.12.........1.6....294...7...8......5,378694251915728634462153987839412576547936812126875349751369428294581763683247195
99,24,0.0,138,.36..87....1....285.2......42.6.....35...........459.....98.........71..1.3....7.,936128754741596328582734619429673581357819246618245937275981463864357192193462875
